City ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
172,Cururupu,BR,-1.83,-44.87,2020-04-11,77.47,91.0,100.0,2.98
173,Padang,ID,-0.95,100.35,2020-04-11,87.03,67.0,66.0,3.02
174,Solok,ID,-0.79,100.66,2020-04-11,82.71,65.0,66.0,1.77
175,Puerto Ayora,EC,-0.74,-90.35,2020-04-11,80.01,88.0,93.0,3.0
176,Port-Gentil,GA,-0.72,8.78,2020-04-11,81.59,81.0,100.0,9.98
177,Hithadhoo,MV,-0.6,73.08,2020-04-11,85.05,61.0,54.0,6.98
178,Owando,CG,-0.48,15.9,2020-04-11,73.87,85.0,100.0,2.33
179,Puerto Leguizamo,CO,-0.19,-74.78,2020-04-11,70.86,92.0,91.0,0.87
180,Kisangani,CD,0.52,25.2,2020-04-11,74.82,83.0,87.0,1.21
181,Muisne,EC,0.6,-80.03,2020-04-11,76.75,86.0,97.0,6.08
182,Masindi,UG,1.67,31.71,2020-04-11,71.73,59.0,24.0,4.94
183,Mogadishu,SO,2.04,45.34,2020-04-11,87.8,62.0,75.0,6.93
184,Bandar,ID,2.05,99.75,2020-04-11,93.54,43.0,70.0,3.42
185,Kudahuvadhoo,MV,2.67,72.89,2020-04-11,84.27,68.0,28.0,5.57
186,Butaritari,KI,3.07,172.79,2020-04-11,84.52,74.0,65.0,9.4
187,Inirida,CO,3.87,-67.92,2020-04-11,71.91,94.0,100.0,1.52
188,Saint-Georges,GF,3.9,-51.8,2020-04-11,74.16,95.0,100.0,1.88
189,Limbe,CM,4.02,9.21,2020-04-11,77.0,94.0,75.0,6.93
190,Meulaboh,ID,4.14,96.13,2020-04-11,88.18,59.0,68.0,4.41
191,Miri,MY,4.41,114.01,2020-04-11,87.8,79.0,75.0,9.17
192,Axim,GH,4.87,-2.24,2020-04-11,79.79,84.0,81.0,5.21
193,Yenagoa,NG,4.92,6.26,2020-04-11,77.16,89.0,60.0,5.99
194,Cayenne,GF,4.93,-52.33,2020-04-11,78.8,100.0,97.0,8.77
195,Zemio,CF,5.03,25.14,2020-04-11,75.58,68.0,87.0,3.42
196,Marquetalia,CO,5.3,-75.06,2020-04-11,61.75,64.0,100.0,3.42
197,Hobyo,SO,5.35,48.53,2020-04-11,85.93,59.0,62.0,11.03
198,Winneba,GH,5.35,-0.62,2020-04-11,78.8,88.0,58.0,4.7
199,Sinnamary,GF,5.38,-52.95,2020-04-11,78.8,81.0,97.0,13.24
200,Warri,NG,5.52,5.75,2020-04-11,76.53,89.0,43.0,8.9
201,Anloga,GH,5.79,0.9,2020-04-11,80.6,88.0,20.0,2.24
202,Sabang,ID,5.89,95.32,2020-04-11,85.39,72.0,22.0,12.39
203,Ikom,NG,5.97,8.71,2020-04-11,76.17,92.0,100.0,1.7
204,Hambantota,LK,6.12,81.12,2020-04-11,87.01,63.0,5.0,11.99
205,Kuah,MY,6.33,99.84,2020-04-11,93.2,63.0,20.0,3.36
206,Kinablangan,PH,7.69,126.55,2020-04-11,84.97,63.0,28.0,10.69
207,Batticaloa,LK,7.71,81.69,2020-04-11,89.31,53.0,8.0,9.4
208,Remedios,PA,8.23,-81.83,2020-04-11,79.16,73.0,62.0,6.67
209,Bandarbeyla,SO,9.49,50.81,2020-04-11,83.1,59.0,49.0,7.05
210,Calamar,CO,10.25,-74.91,2020-04-11,82.4,83.0,75.0,12.75
211,Birao,CF,10.28,22.79,2020-04-11,86.76,14.0,66.0,8.95
212,Sikasso,ML,10.92,-7.0,2020-04-11,78.33,54.0,7.0,4.85
213,Kolondieba,ML,11.09,-6.89,2020-04-11,78.37,54.0,3.0,4.56
214,Scarborough,TT,11.18,-60.73,2020-04-11,78.8,78.0,20.0,4.7
215,Bang Saphan,TH,11.21,99.51,2020-04-11,91.4,66.0,40.0,8.05
216,Port Blair,IN,11.67,92.75,2020-04-11,84.13,66.0,25.0,7.23
217,Dutse,NG,11.76,9.34,2020-04-11,77.94,15.0,99.0,3.76
218,Prachuap Khiri Khan,TH,11.82,99.78,2020-04-11,89.83,53.0,50.0,7.18
219,San Rafael Del Sur,NI,11.85,-86.44,2020-04-11,82.4,69.0,20.0,9.17
220,San Policarpo,PH,12.18,125.51,2020-04-11,82.94,65.0,27.0,6.53
221,Marabba,SD,12.35,32.18,2020-04-11,86.97,11.0,47.0,17.47
222,Puro,PH,12.48,123.38,2020-04-11,86.52,59.0,31.0,3.56
223,Tuy Hoa,VN,13.08,109.3,2020-04-11,85.46,66.0,63.0,6.2
224,Bathsheba,BB,13.22,-59.52,2020-04-11,78.8,74.0,40.0,14.99
225,Chon Buri,TH,13.36,100.98,2020-04-11,97.0,56.0,40.0,9.17
226,Segou,ML,13.43,-6.22,2020-04-11,82.18,44.0,57.0,10.04
227,Acajutla,SV,13.59,-89.83,2020-04-11,75.0,56.0,3.0,7.27
228,Cabra,PH,13.89,120.05,2020-04-11,83.64,71.0,2.0,3.67
229,Pandan,PH,14.05,124.17,2020-04-11,81.63,76.0,40.0,7.45
230,Champerico,GT,14.3,-91.92,2020-04-11,81.41,77.0,58.0,8.28
231,Filingue,NE,14.35,3.32,2020-04-11,80.19,32.0,71.0,4.7
232,Dinahican,PH,14.72,121.72,2020-04-11,84.18,68.0,36.0,9.04
233,Pout,SN,14.77,-17.06,2020-04-11,71.6,60.0,0.0,5.82
234,Tahoua,NE,14.89,5.27,2020-04-11,86.0,25.0,100.0,4.7
235,Sao Filipe,CV,14.9,-24.5,2020-04-11,74.14,76.0,38.0,6.67
236,Praia,CV,14.92,-23.51,2020-04-11,73.4,73.0,41.0,17.22
237,Aguacatan,GT,15.34,-91.31,2020-04-11,52.0,95.0,89.0,0.22
238,Abalak,NE,15.45,6.28,2020-04-11,77.95,25.0,100.0,6.44
239,Puerto Escondido,MX,15.85,-97.07,2020-04-11,79.36,66.0,29.0,3.98
240,Saint-Louis,SN,16.33,-15.0,2020-04-11,73.9,29.0,0.0,4.99
241,Goundam,ML,16.41,-3.67,2020-04-11,77.43,26.0,0.0,2.8
242,Gao,ML,16.64,1.64,2020-04-11,80.83,29.0,99.0,10.67
243,Acapulco,MX,16.86,-99.89,2020-04-11,77.0,94.0,5.0,4.7
244,Salalah,OM,17.02,54.09,2020-04-11,84.2,74.0,40.0,6.93
245,Ponta Do Sol,CV,17.2,-25.09,2020-04-11,71.6,83.0,40.0,33.33
246,Xalpatlahuac,MX,17.47,-98.62,2020-04-11,62.56,36.0,29.0,5.75
247,Nouakchott,MR,18.09,-15.98,2020-04-11,71.6,73.0,0.0,10.29
248,Les Cayes,HT,18.2,-73.75,2020-04-11,79.0,80.0,97.0,5.59
249,Road Town,VG,18.42,-64.62,2020-04-11,80.6,78.0,40.0,6.93
250,Karimnagar,IN,18.43,79.15,2020-04-11,100.63,15.0,3.0,8.01
251,Coahuayana,MX,18.73,-103.68,2020-04-11,75.69,45.0,0.0,3.29
252,Araouane,ML,18.9,-3.53,2020-04-11,77.14,14.0,0.0,3.06
253,Amecameca,MX,19.12,-98.77,2020-04-11,73.4,20.0,20.0,4.7
254,San Patricio,MX,19.22,-104.7,2020-04-11,76.41,60.0,7.0,7.74
255,George Town,KY,19.29,-81.37,2020-04-11,79.0,87.0,78.0,1.01
256,Hilo,US,19.73,-155.09,2020-04-11,75.2,83.0,90.0,3.36
257,Tombouctou,ML,20.0,-3.0,2020-04-11,77.79,12.0,0.0,5.97
258,Vega De Alatorre,MX,20.03,-96.63,2020-04-11,79.0,85.0,24.0,6.69
259,Tessalit,ML,20.2,1.01,2020-04-11,77.04,15.0,20.0,7.47
260,Basco,PH,20.45,121.97,2020-04-11,76.06,72.0,82.0,6.22
261,Thai Binh,VN,20.45,106.33,2020-04-11,80.6,78.0,100.0,4.7
262,Atar,MR,20.52,-13.05,2020-04-11,73.31,31.0,0.0,11.63
263,Moa,CU,20.66,-74.94,2020-04-11,75.02,75.0,56.0,3.24
264,Kahului,US,20.89,-156.47,2020-04-11,75.2,73.0,40.0,9.17
265,Makakilo City,US,21.35,-158.09,2020-04-11,80.6,73.0,1.0,5.82
266,Mecca,SA,21.43,39.83,2020-04-11,78.26,17.0,57.0,11.45
267,Ahuimanu,US,21.44,-157.84,2020-04-11,78.8,57.0,75.0,11.41
268,Qinzhou,CN,21.95,108.62,2020-04-11,79.59,76.0,94.0,9.42
269,Kapaa,US,22.08,-159.32,2020-04-11,77.0,69.0,20.0,10.29
270,Sur,OM,22.57,59.53,2020-04-11,93.58,21.0,54.0,8.43
271,Cabo San Lucas,MX,22.89,-109.91,2020-04-11,68.0,68.0,81.0,14.63
272,Naliya,IN,23.27,68.83,2020-04-11,91.6,30.0,0.0,6.08
